Open,Close,High,Low,Volume
447.91,448.04,448.17,447.83,199.64889443
448.15,446.74,448.17,445.8,781.86417053
446.0,447.67,448.1,445.99,246.36602174
447.68,451.72,451.97,447.58,1656.8363412
451.4,451.6,451.6,449.66,1295.64004458
451.62,451.16,453.0,451.03,1666.91685215
451.05,452.0,452.0,450.7,390.63974103
451.99,453.39,454.27,451.76,1038.34638703
453.37,453.67,453.89,453.0,223.86834679
453.8,451.98,454.64,450.01,1588.14541547
451.96,451.04,451.96,450.0,1556.04592595
451.6,452.38,453.48,451.09,487.53492829
452.37,450.08,453.98,448.12,2112.2638209
450.09,451.44,451.45,450.09,629.15953381
451.45,452.51,452.71,451.43,531.74033701
452.48,452.8,453.34,451.07,762.75060944
452.62,451.43,452.8,450.01,615.20906336
451.52,451.05,451.52,450.23,135.24626091
450.7,451.27,451.65,450.7,292.23803573
451.2,451.02,451.55,450.0,816.96726184
450.92,450.99,452.21,450.39,399.01345627
450.99,451.12,451.4,450.0,1412.34465599
450.69,453.7,454.0,450.69,760.34402191
453.11,452.77,453.67,451.71,261.83770822
452.77,453.47,453.57,452.4,126.87180775
452.93,453.82,454.46,452.0,654.8093032
453.83,452.9,453.89,452.22,377.25485818
453.22,454.49,454.8,452.8,317.74159127
454.5,454.49,454.96,454.09,304.05736108
454.5,452.89,454.5,452.77,314.50919704
452.89,453.01,453.99,452.78,478.01525454
453.07,452.28,453.07,451.7,561.87107083
452.01,452.97,453.2,451.5,497.15848613
452.88,452.29,453.1,452.09,175.20006195
452.55,453.3,453.45,452.55,235.55254184
453.33,453.38,454.0,453.3,680.95876303
453.55,453.64,454.0,452.54,1598.6383248
453.64,453.2,454.0,452.22,624.19624508
453.08,453.56,453.98,453.07,496.61476759
453.61,453.89,454.0,453.52,737.22105916
453.95,454.8,454.8,453.74,663.49931417
454.8,454.62,455.0,454.31,345.76936862
454.62,455.99,456.0,454.61,767.79264128
456.0,456.0,456.0,455.99,1559.0946319
456.0,454.86,456.48,453.64,901.05120458
454.82,454.83,456.08,454.45,580.85580314
454.84,455.89,456.32,454.01,625.39479529
455.98,458.0,458.0,455.94,1574.18496348
457.76,458.88,459.48,457.74,2712.82654172
458.89,462.42,462.9,458.89,3144.94051302
462.89,463.5,464.02,462.0,1854.30570512
463.5,464.9,465.0,463.39,1432.87875815
464.9,464.94,465.0,462.51,913.64865774
464.98,464.76,465.0,463.5,1213.76955863
464.53,465.48,465.5,464.53,3009.79143598
465.49,466.63,467.0,465.48,1411.73660052
466.61,466.99,467.0,465.9,547.61956763
466.99,464.9,467.0,464.52,1063.92024233
464.9,465.07,465.54,463.99,2613.47759062
465.07,465.01,466.83,465.0,347.98038862
465.01,462.73,465.23,462.03,1648.55301099
462.32,464.69,464.99,462.25,760.07641611
464.62,463.97,464.74,463.6,264.18048499
463.97,463.99,464.0,463.5,240.24605481
464.0,464.46,464.48,463.99,358.49592667
464.44,465.0,465.0,464.43,2070.92116409
465.0,465.31,466.0,464.99,641.00065749
465.19,465.7,466.0,464.0,873.42408983
465.7,465.99,466.0,465.69,1020.47387761
466.0,465.17,466.0,464.1,946.33357672
465.17,461.67,465.17,461.5,1084.85714014
461.77,460.3,462.12,458.33,2040.23914233
460.18,464.04,464.04,460.08,591.56936094
464.05,463.8,465.0,463.8,638.69818914
463.62,463.78,464.38,463.54,639.78313978
463.79,462.0,463.89,461.45,510.72329295
462.0,460.0,462.13,460.0,1057.71205442
460.6,460.3,460.91,460.2,477.87762239
460.3,458.7,460.33,458.7,1698.41191457
458.7,458.43,460.25,457.41,1099.17028685
458.46,458.74,459.38,457.51,783.38771379
458.74,459.64,461.17,458.73,1101.21378915
459.7,460.7,460.71,459.25,342.25611759
460.69,460.31,460.71,459.93,509.33190968
460.27,460.03,461.01,459.58,1357.92129776
460.04,457.5,460.17,457.5,1445.27398352
457.51,456.06,457.51,455.1,1550.78601512
456.18,457.19,457.82,455.87,1235.94929106
457.21,457.11,457.6,455.2,1505.08903788
456.58,457.08,457.55,455.61,741.45383169
457.06,457.6,457.6,456.92,570.19799164
457.59,460.0,460.0,457.59,1038.48161184
459.54,460.81,461.0,459.54,785.47322722
460.8,460.67,460.81,459.87,889.61385841
460.67,460.16,461.0,459.64,317.37370225
460.16,460.91,460.91,460.16,478.5648105
460.91,462.54,462.88,460.9,588.41742351
462.22,464.94,464.97,462.1,978.19625069
464.62,464.7,465.0,463.01,722.58259659
464.7,463.74,464.7,462.78,707.02231626
463.6,463.07,464.08,462.1,539.68152972
463.04,461.78,463.11,460.16,1613.96441972
461.82,463.5,463.5,461.7,256.21424896
463.49,463.28,463.5,462.62,357.27985347
463.19,461.36,463.46,461.34,336.74869902
461.47,460.3,462.79,459.27,1474.87678176
460.48,462.08,463.0,460.32,961.70912512
462.38,462.99,463.0,460.87,1104.8942163
